"행정구역","2025년05월_총인구수","2025년05월_세대수","2025년05월_남자 인구수","2025년05월_여자 인구수","2025년05월_남여 비율"
"전국  (1000000000)","51,169,148","24,223,795","25,470,398","25,698,750","          0.99"
"서울특별시  (1100000000)","9,328,042","4,498,871","4,499,145","4,828,897","          0.93"
"부산광역시  (2600000000)","3,254,457","1,573,175","1,582,928","1,671,529","          0.95"
"대구광역시  (2700000000)","2,357,997","1,108,216","1,155,934","1,202,063","          0.96"
"인천광역시  (2800000000)","3,037,049","1,387,911","1,517,498","1,519,551","          1.00"
"광주광역시  (2900000000)","1,399,880","658,483","690,826","709,054","          0.97"
"대전광역시  (3000000000)","1,439,607","693,055","717,511","722,096","          0.99"
"울산광역시  (3100000000)","1,094,027","496,827","563,339","530,688","          1.06"
"세종특별자치시  (3600000000)","392,211","164,871","195,189","197,022","          0.99"
"경기도  (4100000000)","13,706,488","6,088,535","6,886,034","6,820,454","          1.01"
"강원특별자치도  (5100000000)","1,511,341","766,480","759,974","751,367","          1.01"
"충청북도  (4300000000)","1,590,956","792,075","810,348","780,608","          1.04"
"충청남도  (4400000000)","2,135,908","1,058,425","1,096,206","1,039,702","          1.05"
"전북특별자치도  (5200000000)","1,731,309","866,765","862,633","868,676","          0.99"
"전라남도  (4600000000)","1,784,116","914,435","901,006","883,110","          1.02"
"경상북도  (4700000000)","2,520,934","1,296,540","1,275,956","1,244,978","          1.02"
"경상남도  (4800000000)","3,217,584","1,544,015","1,622,407","1,595,177","          1.02"
"제주특별자치도  (5000000000)","667,242","315,116","333,464","333,778","          1.00"
