"행정구역","2025년05월_총인구수","2025년05월_세대수","2025년05월_세대당 인구"
"전국  (1000000000)","51,169,148","24,223,795","          2.11"
"서울특별시  (1100000000)","9,328,042","4,498,871","          2.07"
"부산광역시  (2600000000)","3,254,457","1,573,175","          2.07"
"대구광역시  (2700000000)","2,357,997","1,108,216","          2.13"
"인천광역시  (2800000000)","3,037,049","1,387,911","          2.19"
"광주광역시  (2900000000)","1,399,880","658,483","          2.13"
"대전광역시  (3000000000)","1,439,607","693,055","          2.08"
"울산광역시  (3100000000)","1,094,027","496,827","          2.20"
"세종특별자치시  (3600000000)","392,211","164,871","          2.38"
"경기도  (4100000000)","13,706,488","6,088,535","          2.25"
"강원특별자치도  (5100000000)","1,511,341","766,480","          1.97"
"충청북도  (4300000000)","1,590,956","792,075","          2.01"
"충청남도  (4400000000)","2,135,908","1,058,425","          2.02"
"전북특별자치도  (5200000000)","1,731,309","866,765","          2.00"
"전라남도  (4600000000)","1,784,116","914,435","          1.95"
"경상북도  (4700000000)","2,520,934","1,296,540","          1.94"
"경상남도  (4800000000)","3,217,584","1,544,015","          2.08"
"제주특별자치도  (5000000000)","667,242","315,116","          2.12"
